sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)	Класс	CF
1	1	1	1	setosa	0.0200
1	1	2	2	versicolor	0.0800
1	1	3	3	versicolor	0.0200
1	1	3	4	virginica	0.0200
1	2	1	1	setosa	0.2000
1	3	1	1	setosa	0.4400
1	4	1	1	setosa	0.1200
2	1	2	2	versicolor	0.0200
2	1	3	2	versicolor	0.0800
2	1	3	3	versicolor	0.1400
2	1	4	4	virginica	0.0400
2	2	2	3	versicolor	0.0400
2	2	3	3	versicolor	0.1400
2	2	4	4	virginica	0.0200
2	2	4	5	virginica	0.0400
2	3	1	1	setosa	0.0800
2	3	4	4	versicolor	0.0200
2	4	1	1	setosa	0.1400
3	1	4	3	versicolor	0.0400
3	1	4	4	virginica	0.1000
3	1	5	3	virginica	0.1000
3	2	3	3	versicolor	0.1400
3	2	4	2	versicolor	0.0200
3	2	4	3	versicolor	0.0800
3	2	4	4	virginica	0.1200
3	2	5	4	virginica	0.0200
3	2	5	5	virginica	0.0800
3	3	3	3	versicolor	0.0800
3	3	4	3	versicolor	0.0400
3	3	4	4	virginica	0.0200
3	3	5	5	virginica	0.1000
4	1	5	4	virginica	0.0600
4	2	3	3	versicolor	0.0200
4	2	4	4	versicolor	0.0200
4	2	4	5	virginica	0.0400
4	2	5	4	virginica	0.1200
4	2	5	5	virginica	0.0200
4	3	4	3	versicolor	0.0200
4	3	5	4	virginica	0.0400
4	3	5	5	virginica	0.0400
